Mnis Id,Member,Party,Donations Penalty,Employment Penalty,Gifts Penalty,Overseas Penalty,Property Penalty,Shareholdings Penalty,Family Penalty,Miscellaneous Penalty,Raw Interest Penalty,Concentration Penalty,Rectification Count,Transparency Penalty,Total Raw Penalty,Calibration K,Final Score,Grade
4076,Valerie Vaz,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,36.0,6.0,0,0.0,42.0,81.0,65.85365853658536,C+
4494,Simon Hoare,,0.0,0.0,0.0,6.0,0.0,0.0,24.0,6.5,36.5,6.0,0,0.0,42.5,81.0,65.58704453441295,C+
4523,Catherine West,,0.0,17.0,0.0,6.0,18.0,0.0,0.0,0.0,41.0,3.0,0,0.0,44.0,81.0,64.8,C
4471,Rachael Maskell,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,38.0,6.0,0,0.0,44.0,81.0,64.8,C
1444,Mr Mark Francois,,0.0,24.0,0.0,17.25,0.0,0.0,0.0,0.0,41.25,3.0,0,0.0,44.25,81.0,64.67065868263474,C
4473,Louise Haigh,,0.0,22.0,13.5,4.5,0.0,0.0,0.0,1.5,41.5,3.0,0,0.0,44.5,81.0,64.54183266932272,C
4676,Marsha De Cordova,,0.0,24.0,0.0,18.0,0.0,0.0,0.0,0.0,42.0,3.0,0,0.0,45.0,81.0,64.28571428571428,C
4981,Ashley Dalton,,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,36.0,10.0,0,0.0,46.0,81.0,63.779527559055126,C
3969,Damian Hinds,,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,36.0,10.0,0,0.0,46.0,81.0,63.779527559055126,C
5010,Damien Egan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,10.0,0,0.0,46.0,81.0,63.779527559055126,C
4860,Dr Kieran Mullan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,10.0,0,0.0,46.0,81.0,63.779527559055126,C
177,Gareth Thomas,,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,36.0,10.0,0,0.0,46.0,81.0,63.779527559055126,C
3973,Grahame Morris,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,10.0,0,0.0,46.0,81.0,63.779527559055126,C
4861,Robbie Moore,,30.5,0.0,6.5,0.0,0.0,0.0,0.0,3.75,40.75,6.0,0,0.0,46.75,81.0,63.405088062622305,C
3997,Sir Alec Shelbrooke,,0.0,0.0,22.0,0.0,0.0,0.0,24.0,0.0,46.0,3.0,0,0.0,49.0,81.0,62.30769230769231,C
4787,James Wild,,0.0,0.0,12.0,12.0,0.0,0.0,0.0,24.0,48.0,3.0,0,0.0,51.0,81.0,61.36363636363636,C
4803,Paul Holmes,,0.0,0.0,0.0,17.25,0.0,0.0,0.0,28.5,45.75,6.0,0,0.0,51.75,81.0,61.016949152542374,C
4785,Dr Ben Spencer,,22.0,0.0,12.0,15.75,0.0,0.0,0.0,0.0,49.75,3.0,0,0.0,52.75,81.0,60.5607476635514,C
4853,Dr Neil Hudson,,0.0,27.0,0.0,0.0,0.0,0.0,0.0,24.0,51.0,3.0,0,0.0,54.0,81.0,60.00000000000001,C
4653,Stephen Morgan,,27.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,30,5.0,55.0,81.0,59.55882352941177,C-
165,Clive Efford,,0.0,0.0,24.0,0.0,0.0,0.0,0.0,28.5,52.5,3.0,0,0.0,55.5,81.0,59.34065934065934,C-
4870,Florence Eshalomi,,0.0,0.0,0.0,13.5,36.0,0.0,0.0,0.0,49.5,6.0,0,0.0,55.5,81.0,59.34065934065934,C-
345,Sir Edward Leigh,,0.0,0.0,0.0,16.5,0.0,0.0,24.0,12.0,52.5,3.0,0,0.0,55.5,81.0,59.34065934065934,C-
4849,Alex Davies-Jones,,0.0,0.0,36.0,0.0,0.0,0.0,0.0,12.0,48.0,8.0,0,0.0,56.0,81.0,59.12408759124088,C-
4048,Caroline Nokes,,0.0,0.0,12.0,0.0,0.0,0.0,0.0,36.0,48.0,8.0,0,0.0,56.0,81.0,59.12408759124088,C-
1536,Emily Thornberry,,0.0,0.0,0.0,0.0,36.0,0.0,0.0,12.0,48.0,8.0,0,0.0,56.0,81.0,59.12408759124088,C-
4873,Rachel Hopkins,,0.0,0.0,0.0,0.0,36.0,0.0,0.0,12.0,48.0,8.0,0,0.0,56.0,81.0,59.12408759124088,C-
54,Sir Julian Lewis,,0.0,0.0,14.0,0.0,36.0,0.0,0.0,0.0,50.0,6.0,0,0.0,56.0,81.0,59.12408759124088,C-
4316,Mike Kane,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,46.5,10.0,0,0.0,56.5,81.0,58.90909090909091,C-
4813,Mr Richard Holden,,0.0,0.0,10.0,30.75,0.0,0.0,0.0,9.75,50.5,6.0,0,0.0,56.5,81.0,58.90909090909091,C-
4811,Navendu Mishra,,16.625,0.0,13.0,0.0,0.0,0.0,0.0,24.0,53.625,3.0,0,0.0,56.625,81.0,58.855585831062676,C-
4846,Colum Eastwood,,0.0,0.0,0.0,16.5,0.0,0.0,0.0,34.5,51.0,6.0,0,0.0,57.0,81.0,58.69565217391304,C-
4632,Anna McMorrin,,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,10.0,0,0.0,58.0,81.0,58.273381294964025,C-
4918,Sarah Green,,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,10.0,0,0.0,58.0,81.0,58.273381294964025,C-
4631,Sarah Jones,,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,10.0,0,0.0,58.0,81.0,58.273381294964025,C-
420,Yvette Cooper,,0.0,39.5,11.0,0.0,0.0,0.0,0.0,0.0,50.5,8.0,0,0.0,58.5,81.0,58.064516129032256,C-
1171,Liam Byrne,,0.0,40.0,0.0,13.5,0.0,0.0,0.0,0.0,53.5,6.0,0,0.0,59.5,81.0,57.65124555160142,C-
4641,Alex Norris,,0.0,0.0,40.0,0.0,0.0,0.0,0.0,12.0,52.0,8.0,0,0.0,60.0,81.0,57.4468085106383,C-
4088,Ms Stella Creasy,,0.0,40.0,0.0,0.0,0.0,0.0,0.0,12.0,52.0,8.0,0,0.0,60.0,81.0,57.4468085106383,C-
4788,Fleur Anderson,,22.25,0.0,5.0,30.0,0.0,0.0,0.0,0.0,57.25,3.0,0,0.0,60.25,81.0,57.34513274336283,C-
4418,Justin Madders,,0.0,0.0,0.0,17.25,0.0,0.0,0.0,39.75,57.0,6.0,0,0.0,63.0,81.0,56.25,C-
4618,Liz Twist,,14.0,0.0,0.0,0.0,36.0,0.0,0.0,10.75,60.75,3.0,0,0.0,63.75,81.0,55.95854922279792,C-
4844,Matt Vickers,,9.75,0.0,0.0,0.0,0.0,0.0,0.0,46.0,55.75,8.0,0,0.0,63.75,81.0,55.95854922279792,C-
4923,Kim Leadbeater,,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0,10.0,0,0.0,64.0,81.0,55.862068965517246,C-
4394,Imran Hussain,,0.0,0.0,0.0,26.25,0.0,0.0,24.0,12.0,62.25,3.0,0,0.0,65.25,81.0,55.38461538461539,C-
4764,Bell Ribeiro-Addy,,0.0,27.0,11.5,0.0,0.0,0.0,0.0,24.0,62.5,3.0,0,0.0,65.5,81.0,55.2901023890785,C-
4621,Darren Jones,,26.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,62.5,3.0,0,0.0,65.5,81.0,55.2901023890785,C-
4030,Karl Turner,,12.0,8.0,0.0,0.0,0.0,0.0,0.0,39.75,59.75,6.0,0,0.0,65.75,81.0,55.195911413969334,C-
4501,Gerald Jones,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,60.0,6.0,0,0.0,66.0,81.0,55.10204081632653,C-
413,Hilary Benn,,0.0,0.0,0.0,0.0,36.0,0.0,24.0,0.0,60.0,6.0,0,0.0,66.0,81.0,55.10204081632653,C-
4359,Stephen Kinnock,,0.0,0.0,15.0,0.0,36.0,0.0,0.0,12.0,63.0,3.0,0,0.0,66.0,81.0,55.10204081632653,C-
4716,Ruth Jones,,11.5,0.0,22.0,0.0,0.0,0.0,0.0,32.0,65.5,3.0,0,0.0,68.5,81.0,54.180602006688964,D+
4527,Helen Whately,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,61.5,8.0,0,0.0,69.5,81.0,53.820598006644516,D+
4872,David Simmonds,,36.0,0.0,3.5,0.0,0.0,0.0,0.0,27.5,67.0,3.0,0,0.0,70.0,81.0,53.64238410596027,D+
4456,Jeff Smith,,0.0,0.0,32.0,0.0,0.0,0.0,0.0,36.0,68.0,3.0,0,0.0,71.0,81.0,53.28947368421053,D+
5025,Chris Webb,,0.0,0.0,19.0,0.0,0.0,0.0,0.0,48.0,67.0,6.0,0,0.0,73.0,81.0,52.5974025974026,D+
1440,Pete Wishart,,0.0,48.0,19.0,0.0,0.0,0.0,0.0,0.0,67.0,6.0,0,0.0,73.0,81.0,52.5974025974026,D+
4779,Taiwo Owatemi,,0.0,0.0,10.0,0.0,0.0,48.0,0.0,12.0,70.0,6.0,0,0.0,76.0,81.0,51.59235668789809,D+
206,Mr David Lammy,,7.0,0.0,19.0,0.0,36.0,0.0,0.0,12.0,74.0,3.0,0,0.0,77.0,81.0,51.265822784810126,D+
4119,Jonathan Reynolds,,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,67.5,10.0,0,0.0,77.5,81.0,51.10410094637224,D+
449,Graham Stringer,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,48.0,72.0,6.0,0,0.0,78.0,81.0,50.943396226415096,D+
394,Mr Clive Betts,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,48.0,72.0,6.0,0,0.0,78.0,81.0,50.943396226415096,D+
4479,Nick Thomas-Symonds,,0.0,43.5,0.0,0.0,0.0,0.0,0.0,31.75,75.25,3.0,0,0.0,78.25,81.0,50.86342229199372,D+
4399,Victoria Atkins,,0.0,0.0,50.75,0.0,0.0,0.0,0.0,24.0,74.75,6.0,0,0.0,80.75,81.0,50.07727975270479,D+
4360,Gavin Robinson,,0.0,0.0,0.0,3.75,0.0,0.0,24.0,48.0,75.75,6.0,0,0.0,81.75,81.0,49.76958525345621,D
4797,James Murray,,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,10.0,0,0.0,82.0,81.0,49.69325153374233,D
1383,Sir Mark Tami,,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,72.0,10.0,0,0.0,82.0,81.0,49.69325153374233,D
4864,Olivia Blake,,66.75,0.0,9.0,0.0,0.0,0.0,0.0,0.0,75.75,8.0,0,0.0,83.75,81.0,49.165402124430955,D
3924,Yasmin Qureshi,,0.0,0.0,0.0,27.75,0.0,0.0,24.0,32.25,84.0,0.0,0,0.0,84.0,81.0,49.090909090909086,D
4979,Andrew Western,,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,10.0,0,0.0,86.0,81.0,48.50299401197604,D
87,Sir Roger Gale,,0.0,0.0,0.0,15.75,36.0,0.0,24.0,7.25,83.0,3.0,0,0.0,86.0,81.0,48.50299401197604,D
4790,Apsana Begum,,0.0,0.0,0.0,0.0,0.0,48.0,0.0,36.0,84.0,3.0,0,0.0,87.0,81.0,48.21428571428571,D
4382,Daniel Zeichner,,0.0,0.0,0.0,0.0,0.0,48.0,0.0,36.0,84.0,3.0,0,0.0,87.0,81.0,48.21428571428571,D
400,John Healey,,0.0,0.0,0.0,0.0,24.0,0.0,24.0,36.0,84.0,3.0,0,0.0,87.0,81.0,48.21428571428571,D
4515,Kate Osamor,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,58.75,82.75,6.0,0,0.0,88.75,81.0,47.71723122238587,D
4783,Kate Osborne,,2.5,0.0,0.0,0.0,0.0,48.0,0.0,36.0,86.5,3.0,0,0.0,89.5,81.0,47.50733137829912,D
4572,Chris Elmore,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,10.0,0,0.0,94.0,81.0,46.28571428571429,D
4850,Gareth Davies,,0.0,37.0,0.0,21.25,0.0,17.0,0.0,19.0,94.25,0.0,0,0.0,94.25,81.0,46.21968616262482,D
4747,Tahir Ali,,0.0,0.0,0.0,15.75,36.0,0.0,0.0,40.0,91.75,3.0,0,0.0,94.75,81.0,46.088193456614505,D
4822,Feryal Clark,,0.0,0.0,0.0,9.75,36.0,0.0,48.0,0.0,93.75,3.0,0,0.0,96.75,81.0,45.56962025316455,D
4243,Dan Jarvis,,21.0,0.0,18.0,0.0,0.0,0.0,0.0,55.5,94.5,3.0,0,0.0,97.5,81.0,45.378151260504204,D
4573,Dr Rosena Allin-Khan,,18.0,42.0,18.0,17.25,0.0,0.0,0.0,0.0,95.25,3.0,0,0.0,98.25,81.0,45.18828451882845,D
4603,Preet Kaur Gill,,0.0,0.0,19.0,0.0,0.0,0.0,0.0,72.0,91.0,8.0,0,0.0,99.0,81.0,45.0,D
